gene	HZ_Blood_10	HZ_Blood_1	HZ_Blood_2	HZ_Blood_3	HZ_Blood_4	HZ_Blood_5	HZ_Blood_6	HZ_Blood_7	HZ_Blood_8	HZ_Blood_9
LOC112447072	0	0	0.051485862	0	0	0	0	0	0	0
LOC101903639	0	0	0.067704743	0	0	0	0	0	0	0
LOC618219	0	0	0.314574964	0	0	0	0	0	0	0.232320521
LOC112447074	0.145423468	0.138919016	0	0	0	0.129744464	0	0	0	0
LOC112447010	0	0	0	0	0	0	0	0	0	0
LOC100138661	0.132864168	0	0	0	0	0	0	0	0	0
LOC107131365	0	0	0	0	0	0	0	0	0	0
LOC618212	0	0	0	0	0.022509543	0	0	0	0	0
CLIC6	0	0	0	0	0	0	0	0	0	0
RCAN1	7.682549076	3.285628235	4.617609912	10.96905807	10.40257723	5.133514734	15.38045375	3.692989409	9.192863724	7.084583644
TRNAG-CCC	0	0	0	0	0	0	0	0	0	0
KCNE1	0	0	0	0	0	0	0	0	0	0
LOC101903444	1.6352513	0	0	0.846504357	0	2.735521388	0	0	0	0
C1H21orf140	0.082922318	0	0.335546628	0.240383223	0.328862823	0.184954874	0	0	0.145488011	0
SMIM11A	23.37548384	14.80438879	14.37130393	45.24671757	19.97514722	21.77700635	8.532175475	15.57908522	28.43685315	23.06029235
KCNE2	0	0	0	0	0.178573779	0	0	0	0	0
LOC112446832	0	0	0	0	0	0	0	0	0.442531847	0
LOC112447088	0	0.124840785	0	0	0	0	0	0.062558837	0	0.146455411
LOC107132170	0.21374857	0.051047024	0.054058586	0.088519286	0	0.333730275	0	0	0.046877993	0.199617267
MRPS6	29.13805363	25.85600102	39.60523561	21.84621119	34.01050111	22.54672731	26.2642796	31.00346998	60.75398926	36.57456726
SLC5A3	7.87192929	6.543810348	8.582073716	8.032966945	3.155707151	4.502587556	7.600865507	4.016510363	7.835952957	3.492866959
LOC112448353	0	0	0	0	0	0	0	0	0	0
LOC112447090	0	0	0.123037642	0.100735193	0	0	0	0	0	0
LOC112447091	0	0	0.688743321	0	0	0	0	0	1.552869904	0
ATP5PO	381.0975253	316.0550285	302.8132607	605.9703728	388.0952388	349.9471185	687.1592962	463.2216426	541.7101106	483.0358051
ITSN1	3.208042844	2.987389544	1.751088427	3.995179743	2.755086272	3.38723713	2.033020888	4.264538526	2.67254527	2.931292486
TRNAC-GCA	0	0	0	0	0	0	0	0	0	0
CRYZL1	19.54027967	15.95584125	16.78885428	27.84596237	18.64128192	18.1499673	16.61243956	20.60408523	15.87378124	15.99862932
LOC112447103	1.740751384	3.325783289	1.540870913	1.802235083	0.345183558	1.164802655	0	0.208322479	4.199477152	2.113367324
DONSON	12.06121609	8.659425525	14.61875572	6.659851061	8.12271258	11.53912019	16.09769313	9.985873178	10.21475921	10.05951877
SON	116.5261652	88.44253649	83.3284174	75.58003482	87.18664685	74.0951639	93.12257041	92.69838974	79.92084048	82.50389123
GART	28.63310304	22.30966221	24.60329594	21.08048367	21.19720189	24.03215455	21.46680146	18.81687772	25.61469709	20.1596273
LOC104970777	0	0	0	0.130278159	0	0	0	0	0.068992633	0
DNAJC28	4.023611766	2.655609285	3.058970335	4.120282275	1.856849486	2.045098915	2.978007348	3.618705139	2.010878166	2.787458626
TMEM50B	39.69765888	39.52019624	33.3897068	58.62944355	30.85167229	34.26708056	43.95876937	49.55152204	38.55511811	37.62650608
LOC112448317	4.209136846	3.350726663	0	0	0	5.007098348	0	2.686526695	0	5.765266061
IFNGR2	297.2314051	358.3319583	316.2757281	219.0641017	291.7368267	271.5074698	240.1617367	393.1536424	384.2513683	253.3693576
LOC112447120	1.229904441	1.192429418	2.265571917	0.88183887	0.451368871	1.261077078	0.955506663	1.722312749	1.481529059	0.768014586
IFNAR1	192.6631306	144.4892761	177.3664014	96.60483553	105.5039971	109.3354587	103.7448909	158.5513733	142.5703538	100.5893535
LOC104970778	0.388993952	0.212340093	0.281084093	0.276159977	0	0.396633266	0	0.478824862	0.146248643	0.207586778
IL10RB	68.84083108	63.85702713	68.5392922	54.29378937	68.26644093	60.07989843	69.4857624	90.29084972	73.24814926	70.0908726
IFNAR2	116.4699286	94.97924452	114.7562371	75.60626859	91.15298557	104.8537689	107.0825444	144.8047988	90.14315488	83.59241716
LOC112447121	10.80373934	4.128205335	6.557628398	1.789652743	5.284427142	4.65881199	0	3.27541114	0	1.345264621
LOC526226	1.124235269	0.268487713	0	0	0	0	0	0.269083203	0	0
OLIG1	0.507369437	0.242337994	0.769904781	0	3.756076443	0	1.100399067	1.052460434	1.928733304	0
LOC100848368	0.65036107	0.828362587	0	0.089777594	0.51585528	1.160483239	0	0.778312354	0	0.364418717
OLIG2	0.203457891	0.416480775	0.088210281	0	0.414975395	0.077795073	0	0.139134835	0.356968845	0
LOC112447133	0	0	1.072241818	0	0.112094258	0	0	0	0	0
C1H21orf62	0	0	0	0	0	0	0	0	0	0
PAXBP1	48.64103774	36.32489022	48.57388325	34.02277778	26.50768711	41.53640275	27.83620991	31.08800954	30.3982198	25.80354804
SYNJ1	25.79339287	19.14897049	24.43375008	11.89177366	13.48728274	15.77965882	12.66985284	17.81571113	15.65217959	13.06172403
LOC112447136	1.368735967	0.697341657	0.461551195	0.755776002	0.144754395	0.732698445	0	0.349444159	0.480292108	0
CFAP298	28.98128775	27.81086352	38.95783302	24.6585829	33.50596719	30.63619577	19.86762652	22.70162142	30.12355867	34.38111048
LOC112447137	0	0	0	0	0	0	0	0	0	0
EVA1C	22.79660195	24.81304177	14.32223014	3.709278894	0.893780887	15.59562655	6.333897585	24.09354151	4.258220774	20.39904309
LOC104970779	0.83730874	0.420264309	0.488128298	0.035263023	0.045026371	0.215246884	0	0.5163053	0	0.551342956
URB1	6.547419685	4.226366311	4.679690855	4.882611483	5.296791042	4.857335786	2.339004931	3.81557288	6.201591297	3.952308484
MRAP	0	0	0	0	0.249657168	0	0	0	0	0
MIS18A	6.269124826	5.323308027	3.601647332	3.333419099	4.911172955	3.521651806	2.01432274	6.298399412	7.536516546	4.452434072
