Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_HZ_1,neg_HZ_2,neg_HZ_3,neg_HZ_4,neg_HZ_5,neg_HZ_6,neg_HZ_7,neg_HZ_8,neg_HZ_9,neg_HZ_10,,,,,,,
Com_1_neg,Stearic acid,C18 H36 O2,284.27129,11.274,283.26395,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,586611315.1,1535781444,2081352779,658371205.7,652512719.7,752736913.4,809789748.5,1124963186,494982647,141368063.6,,,,,,,
Com_2_neg,3-Coumaric acid,C9 H8 O3,164.04735,5.543,163.04021,Full match,Full match,Full match,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,955817120,1091277977,1369235307,1170401231,895690172.8,779043521.6,651492983.3,876658410.1,1092374609,1113111073,,,,,,,
Com_3_neg,Dodecanedioic acid,C12 H22 O4,230.15157,6.456,229.14421,Full match,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,626751660.7,955192454.7,978660062.1,955191448.3,791861879.5,809854559.9,404278946.6,516032829.1,907627747.6,758644445,,,,,,,
Com_4_neg,Mevalonic acid,C6 H12 O4,148.07366,2.897,147.06633,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,666012418.7,9025039.891,274067099.7,8930629.616,53081603.54,95550877.06,352231917.6,802965848.8,7044145.024,683541783.8,,,,,,,
Com_5_neg,Azelaic acid,C9 H16 O4,188.10498,5.829,187.09769,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,397758698.2,595743874.7,585815930.3,560528923.2,442458621.6,478705812,242191913.4,314274397.2,585840770.3,514479522.9,,,,,,,
Com_6_neg,"(+/-)-CP 47,497-C7-Hydroxy metabolite",C21 H34 O3,334.25093,9.017,333.24359,Full match,Full match,No results,Benzenoids,Benzene and substituted derivatives,Cyclohexylphenols,Cyclohexylphenols,4994589.745,20014711.67,43169078.35,9785552.324,8072793.27,10899331.89,11588009.12,8339143.583,14018449.64,4864826.708,,,,,,,
Com_7_neg,N-Acetyl-L-tyrosine,C11 H13 N O4,223.08446,5.305,222.07727,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Tyrosine and derivatives,20245719.07,5886737.475,12544551.88,4950272.528,3729190.036,7975633.767,9845975.463,34243759.37,4213058.868,3112360.933,,,,,,,
Com_8_neg,16-Hydroxyhexadecanoic acid,C16 H32 O3,272.2351,9.532,271.22787,Full match,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,8744748.871,17669576.07,33748421.82,9512856.508,9076203.978,12043425.72,14569941.01,15003022.09,21881326.48,7371090.163,,,,,,,
Com_9_neg,Resveratrol,C14 H12 O3,228.07877,5.741,227.07144,Full match,Full match,No results,Phenylpropanoids and polyketides,Stilbenes,Not available,Stilbenes,22260937.11,32674818.17,32722646.59,36336186.84,32430463.11,30556857.16,16759181.12,16701692.96,32546578.01,29718569.95,,,,,,,
Com_10_neg,Ethylmalonic acid,C5 H8 O4,132.04249,5.059,131.0352,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Branched fatty acids,23088274.2,19775919.08,30805306.64,30521138.58,20854717.88,17952015.62,11199141.19,17887559.4,27162317.28,23862315.55,,,,,,,
Com_11_neg,Suberic acid,C8 H14 O4,174.08928,5.65,173.08209,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,24229419.05,18918848.31,15195890.44,14766967.29,14808741.47,17277558.55,8583346.508,19767938.34,19356214.88,19904989.89,,,,,,,
