Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,pos_HZ_1,pos_HZ_2,pos_HZ_3,pos_HZ_4,pos_HZ_5,pos_HZ_6,pos_HZ_7,pos_HZ_8,pos_HZ_9,pos_HZ_10,,,,,,,
Com_1_pos,Hypoxanthine,C5 H4 N4 O,136.0386,2.046,137.04579,Full match,Full match,Full match,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Hypoxanthines,114978016.4,182550821.7,541758621.8,146784251,107877638.2,52372457.79,90744532.01,51189698.06,403868447.6,140936956.9,,,,,,,
Com_2_pos,Nicotinic acid,C6 H5 N O2,123.0322,1.857,124.03942,Full match,Full match,Full match,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids,131885221.2,95558625.77,246617842.7,160896613.2,102708571.9,108890637.2,126751202.9,98879579.73,231077200.6,124584449.2,,,,,,,
Com_3_pos,"5,6-dimethyl-4-oxo-4H-pyran-2-carboxylic acid",C8 H8 O4,168.04244,5.236,169.04961,Full match,Full match,Full match,,,,,67493476.29,22196831.21,25413613.66,56800461.61,34451230.25,30008355.63,84897635.56,80462470.66,22144870.3,88228944.21,,,,,,,
Com_4_pos,L-Phenylalanine,C9 H11 N O2,165.07916,4.978,166.08646,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,37918678.31,40028910.94,69167801.08,46397683.88,5475436.841,23401546.5,36063353.86,34282669.24,94059646.4,46301627.03,,,,,,,
Com_5_pos,L-Pyroglutamic acid,C5 H7 N O3,129.04274,2.254,130.04997,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,21597289.18,27369430.98,80259252.28,39415389.99,38548754.91,22274442.14,26847223.37,15504739.02,77768098.91,31132761.39,,,,,,,
Com_6_pos,Indole-3-acetic acid,C10 H9 N O2,175.06327,5.734,176.07047,Full match,Full match,Full match,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indole-3-acetic acid derivatives,4330517.769,26762451.07,10182977.68,77243231.11,7078231.317,21074964,13996398.73,3775926.712,84546626.78,4076167.316,,,,,,,
Com_7_pos,Choline,C5 H13 N O,103.09988,1.321,104.10709,Full match,Full match,No results,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,22987984.14,44918619.54,68266268.6,20497540.8,27627106.98,27216457.7,20519320.24,20319685.39,72926850.45,44944247.38,,,,,,,
Com_8_pos,trans-Cinnamaldehyde,C9 H8 O,132.05774,5.613,133.06496,Full match,Full match,No results,Phenylpropanoids and polyketides,Cinnamaldehydes,Not available,Cinnamaldehydes,40087911.09,5043262.405,8064819.383,8424671.095,16444674.22,5385895.095,8996202.412,49079973.24,4966655.093,15636773.39,,,,,,,
Com_9_pos,Pipecolic acid,C6 H11 N O2,129.07918,1.549,130.08647,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,23433112.71,15155548.61,48258891.24,20136450.25,15890846.67,20952770.8,40678106.98,29965903.08,35641890.57,31503834.62,,,,,,,
Com_10_pos,Coumarin,C9 H6 O2,146.0371,5.255,147.0444,Full match,Full match,Full match,Phenylpropanoids and polyketides,Coumarins and derivatives,Not available,Coumarins and derivatives,37137099.98,2821157.181,8622146.743,2942835.953,3857413.888,4298955.975,39355508.19,32291257.97,2623022.224,20623446.73,,,,,,,
Com_11_pos,Indole-3-acrylic acid,C11 H9 N O2,187.06351,5.225,188.07092,Full match,Full match,Full match,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Indoles,15475000.44,21534879.18,29523171.91,28523805.01,30068836.88,12117646.96,18467391.18,12746477.87,40045135.69,18852412.47,,,,,,,
Com_12_pos,3'-Adenosine monophosphate (3'-AMP),C10 H14 N5 O7 P,347.0623,1.984,348.06946,Full match,Full match,Full match,"Nucleosides, nucleotides, and analogues",Ribonucleoside 3'-phosphates,Not available,Ribonucleoside 3'-phosphates,18637745.83,8415658.816,30979138.14,36109824.66,13285396.7,19895428.77,20562312.52,11819467.56,22319457.81,29743098.36,,,,,,,
Com_13_pos,"N1-(2,3-dihydro-1,4-benzodioxin-6-yl)acetamide",C10 H11 N O3,193.07391,5.394,194.08121,Full match,Full match,Full match,,,,,8073727.752,3957390.378,4608363.266,4194461.303,4106592.618,3741663.164,4366551.777,5060908.043,4780254.208,3224703.182,,,,,,,
Com_14_pos,Adenine,C5 H5 N5,135.05456,1.515,136.06181,Full match,Full match,Full match,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines,170273842.5,11023693.73,146368175.4,75430991.77,94093583.87,124642070.4,98842010.21,114971324.8,54794641.92,97491743.2,,,,,,,
Com_15_pos,L-Glutamic acid,C5 H9 N O4,147.05332,1.55,148.06059,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glutamic acid and derivatives,58394823.64,59720149.74,63536209.23,77221725.8,37296682.43,43359251.69,26176219.55,59877058.17,94525306.3,50007729.43,,,,,,,
Com_16_pos,Xanthine,C5 H4 N4 O2,152.03358,2.214,153.04085,Full match,Full match,Full match,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,12536686.14,10562032.7,54450456.37,17134265.47,9752259.269,9297276.035,8794411.51,8196521.828,43859536.13,13453330.86,,,,,,,
Com_17_pos,Kynurenic acid,C10 H7 N O3,189.0428,5.359,190.05013,Full match,Full match,Full match,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,Quinoline carboxylic acids,31976836.68,16941071.59,14250011.42,17171690.97,16722281.14,16472617.21,24280378.43,32583651.77,11117192.59,36077533.89,,,,,,,
Com_18_pos,"5,6-dimethoxy-2-(2-methoxyphenyl)-4H-chromen-4-one",C18 H16 O5,294.08893,5.623,295.0961,Invalid mass,No results,No results,,,,,2110208469,1919972682,2074273726,2744664278,2241893439,2061306439,1465189495,1496560506,2074246823,2009859329,,,,,,,
Com_19_pos,"methyl 3,4,5-trihydroxycyclohex-1-ene-1-carboxylate",C8 H12 O5,170.05538,2.855,171.06265,Invalid mass,No results,No results,,,,,917901780.6,4947254.293,343245699.2,5896867.505,76247347.19,63417137.62,286478298.3,805204600.8,881491.0513,535235301.1,,,,,,,
Com_20_pos,Stearoyl Ethanolamide,C20 H41 N O2,309.30273,10.713,310.31006,Invalid mass,No results,No results,Organic nitrogen compounds,Organonitrogen compounds,Amines,N-acylethanolamines,347495068.4,467472689.6,286348836.5,345769739.2,416254063.4,519738545.3,464291774.9,438266513,429179285.7,424626330.5,,,,,,,
Com_21_pos,LSD-d3,C20 H22 [2]H3 N3 O,304.23742,10.662,305.24591,Invalid mass,No results,No results,,,,,153838680.4,337845213.7,628388716.1,161603166.7,118233042.9,187281332.9,297469838.3,389454947.9,471367909.7,82105951.88,,,,,,,
Com_22_pos,Menadione,C11 H8 O2,172.05004,6.068,173.05714,No results,Invalid mass,No results,Benzenoids,Naphthalenes,Naphthoquinones,Naphthoquinones,579570196,177347395.1,384876497.4,308328586.7,416948775.8,395668549.4,339468952,464466255.5,226671590,618273627.2,,,,,,,
Com_23_pos,"2-(2-acetyl-3,5-dihydroxyphenyl)acetic acid",C10 H10 O5,210.05276,5.292,211.06012,Full match,No results,Full match,,,,,16736389.8,3862449.918,5390858.64,7214686.441,4266807.959,5190280.476,495484633.6,14021925.06,4648004.798,26977852.3,,,,,,,
Com_24_pos,Docosahexaenoic acid,C22 H32 O2,328.23523,11.285,329.24243,Invalid mass,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids,244376201.9,376021135.3,440930116.1,250818784.7,243737521.5,253930797.4,329171855.3,333082037,375660399.8,198681781.5,,,,,,,
Com_25_pos,2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid,C10 H18 O4,202.12033,6.024,203.12747,Full match,No results,Full match,,,,,325809901.5,279779867.1,301733162.3,332430638.1,250180434.5,245556445.6,157650232.7,286380557.9,273011964.1,345208044,,,,,,,
Com_26_pos,"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid",C11 H20 O4,198.12438,6.096,199.13167,Invalid mass,Invalid mass,No results,,,,,255839674.9,17967119.59,96042375.14,15354877.31,56846028.83,41798909.79,199739351.7,227452664,12695895.07,221646453.1,,,,,,,
Com_27_pos,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",C14 H14 O4,246.08682,5.536,247.0943,Invalid mass,No results,No results,,,,,178683640,7268878.727,68551723.85,3363342.307,36731399.16,37545184.36,221872661.9,141328951.2,3291619.896,133643504.6,,,,,,,
