Domain:5,Kingdom:13,Phylum:229,Class:463,Order:974,Family:1975,Genus:4980,Species:17585,Total_reads,Percent,Prevalence,Gene_Count
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Aenigmarchaeota,c__unclassified_p__Candidatus_Aenigmarchaeota,o__unclassified_p__Candidatus_Aenigmarchaeota,f__unclassified_p__Candidatus_Aenigmarchaeota,g__unclassified_p__Candidatus_Aenigmarchaeota,s__Candidatus_Aenigmarchaeota_archaeon,2056,0.00%,1,58
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon,64,2.96E-07,0.647058824,5
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon_A3,6,2.77E-08,0.117647059,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon_HGW-Altiarchaeales-1,14,6.47E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon_WOR_SM1_79,24,1.11E-07,0.235294118,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon_WOR_SM1_SCG,30,1.39E-07,0.294117647,4
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__unclassified_p__Candidatus_Altiarchaeota,f__unclassified_p__Candidatus_Altiarchaeota,g__unclassified_p__Candidatus_Altiarchaeota,s__Candidatus_Altiarchaeota_archaeon,976,0.00%,1,6
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Bathyarchaeota,c__unclassified_p__Candidatus_Bathyarchaeota,o__unclassified_p__Candidatus_Bathyarchaeota,f__unclassified_p__Candidatus_Bathyarchaeota,g__unclassified_p__Candidatus_Bathyarchaeota,s__Candidatus_Bathyarchaeota_archaeon,1382,0.00%,1,43
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Bathyarchaeota,c__unclassified_p__Candidatus_Bathyarchaeota,o__unclassified_p__Candidatus_Bathyarchaeota,f__unclassified_p__Candidatus_Bathyarchaeota,g__unclassified_p__Candidatus_Bathyarchaeota,s__Candidatus_Bathyarchaeota_archaeon_A05DMB-2,70,3.23E-07,0.588235294,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Bathyarchaeota,c__unclassified_p__Candidatus_Bathyarchaeota,o__unclassified_p__Candidatus_Bathyarchaeota,f__unclassified_p__Candidatus_Bathyarchaeota,g__unclassified_p__Candidatus_Bathyarchaeota,s__Candidatus_Bathyarchaeota_archaeon_ex4484_231,14,6.47E-08,0.176470588,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Bathyarchaeota,c__unclassified_p__Candidatus_Bathyarchaeota,o__unclassified_p__Candidatus_Bathyarchaeota,f__unclassified_p__Candidatus_Bathyarchaeota,g__unclassified_p__Candidatus_Bathyarchaeota,s__miscellaneous_Crenarchaeota_group_archaeon_SMTZ-80,14,6.47E-08,0.176470588,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Brockarchaeota,c__unclassified_p__Candidatus_Brockarchaeota,o__unclassified_p__Candidatus_Brockarchaeota,f__unclassified_p__Candidatus_Brockarchaeota,g__unclassified_p__Candidatus_Brockarchaeota,s__Candidatus_Brockarchaeota_archaeon,54,2.49E-07,0.588235294,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Culexarchaeota,c__Candidatus_Culexarchaeia,o__Candidatus_Culexarchaeles,f__Candidatus_Culexarchaeaceae,g__Candidatus_Culexarchaeum,s__Candidatus_Culexarchaeum_yellowstonense,18,8.31E-08,0.294117647,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Diapherotrites,c__unclassified_p__Candidatus_Diapherotrites,o__unclassified_p__Candidatus_Diapherotrites,f__unclassified_p__Candidatus_Diapherotrites,g__unclassified_p__Candidatus_Diapherotrites,s__Candidatus_Diapherotrites_archaeon,190,8.78E-07,0.882352941,7
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Diapherotrites,c__unclassified_p__Candidatus_Diapherotrites,o__unclassified_p__Candidatus_Diapherotrites,f__unclassified_p__Candidatus_Diapherotrites,g__unclassified_p__Candidatus_Diapherotrites,s__Candidatus_Diapherotrites_archaeon_ADurb.Bin253,64,2.96E-07,0.235294118,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Heimdallarchaeota,c__unclassified_p__Candidatus_Heimdallarchaeota,o__unclassified_p__Candidatus_Heimdallarchaeota,f__unclassified_p__Candidatus_Heimdallarchaeota,g__unclassified_p__Candidatus_Heimdallarchaeota,s__Candidatus_Heimdallarchaeota_archaeon,344,0.00%,0.941176471,18
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Heimdallarchaeota,c__unclassified_p__Candidatus_Heimdallarchaeota,o__unclassified_p__Candidatus_Heimdallarchaeota,f__unclassified_p__Candidatus_Heimdallarchaeota,g__unclassified_p__Candidatus_Heimdallarchaeota,s__Candidatus_Heimdallarchaeota_archaeon_AB_125,6,2.77E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Heimdallarchaeota,c__unclassified_p__Candidatus_Heimdallarchaeota,o__unclassified_p__Candidatus_Heimdallarchaeota,f__unclassified_p__Candidatus_Heimdallarchaeota,g__unclassified_p__Candidatus_Heimdallarchaeota,s__Candidatus_Heimdallarchaeota_archaeon_LC_2,34,1.57E-07,0.352941176,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Heimdallarchaeota,c__unclassified_p__Candidatus_Heimdallarchaeota,o__unclassified_p__Candidatus_Heimdallarchaeota,f__unclassified_p__Candidatus_Heimdallarchaeota,g__unclassified_p__Candidatus_Heimdallarchaeota,s__Candidatus_Heimdallarchaeota_archaeon_LC_3,4,1.85E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Helarchaeota,c__unclassified_p__Candidatus_Helarchaeota,o__unclassified_p__Candidatus_Helarchaeota,f__unclassified_p__Candidatus_Helarchaeota,g__unclassified_p__Candidatus_Helarchaeota,s__Candidatus_Helarchaeota_archaeon,2,9.24E-09,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Hydrothermarchaeota,c__unclassified_p__Candidatus_Hydrothermarchaeota,o__unclassified_p__Candidatus_Hydrothermarchaeota,f__unclassified_p__Candidatus_Hydrothermarchaeota,g__unclassified_p__Candidatus_Hydrothermarchaeota,s__Candidatus_Hydrothermarchaeota_archaeon,2,9.24E-09,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Korarchaeota,c__unclassified_p__Candidatus_Korarchaeota,o__unclassified_p__Candidatus_Korarchaeota,f__unclassified_p__Candidatus_Korarchaeota,g__Candidatus_Korarchaeum,s__Candidatus_Korarchaeum_cryptofilum,10,4.62E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Korarchaeota,c__unclassified_p__Candidatus_Korarchaeota,o__unclassified_p__Candidatus_Korarchaeota,f__unclassified_p__Candidatus_Korarchaeota,g__unclassified_p__Candidatus_Korarchaeota,s__Candidatus_Korarchaeota_archaeon,12,5.54E-08,0.176470588,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Lokiarchaeota,c__unclassified_p__Candidatus_Lokiarchaeota,o__unclassified_p__Candidatus_Lokiarchaeota,f__unclassified_p__Candidatus_Lokiarchaeota,g__Candidatus_Lokiarchaeum,s__Candidatus_Lokiarchaeum_sp._GC14_75,22,1.02E-07,0.352941176,1
