Gene,XY_Blood_007.886,XY_Blood_1.888,XY_Blood_3.885,XY_Blood_5.609,XY_Blood_7.604,XY_Blood_881,XY_Blood_999
LOC112447072,0,0,0,0,0,0,0
LOC101903639,0.193539471,0,0,0,0,0,0
LOC618219,0.359695165,0,0,0,0,0,0
LOC112447074,0,0,0,0,0.109395757,0,0
LOC112447010,0,0,0,0,0,0,0
LOC100138661,0,0,0,0,0,0,0
LOC107131365,0,0,0,0,0,0,0
LOC618212,0,0,0,0,0,0,0
CLIC6,0,0,0,0.06198412,0,0,0
RCAN1,12.90234997,7.454989907,12.87923062,5.484668734,7.351009929,9.111465958,13.34813971
TRNAG-CCC,0,0,0,0,0,0,0
KCNE1,0,0,0,0,0,0,0.505821119
LOC101903444,0,0.190385902,0.149177955,0.157813882,0,0,0
C1H21orf140,0.191837422,0.579259235,0,0.224073327,0.124757715,0,0.520409813
SMIM11A,7.319982026,39.21388803,37.88944295,24.8274472,27.10517532,12.04299815,34.44649269
KCNE2,0,0,0,0,0,0,0
LOC112446832,0,0,0,0,0,0,0
LOC112447088,0,0,0,0,0,0,0
LOC107132170,0.123624664,0.298630903,0.07799798,0.123769936,0.040198441,0.039548068,0.167682321
MRPS6,11.90052871,25.72458333,24.03679722,24.04226142,23.63335983,29.22982107,36.18333622
SLC5A3,44.29289252,13.08510257,3.265112903,8.569590484,3.586798067,5.0009961,19.23665084
LOC112448353,0,0,0,0,0,0,0
LOC112447090,0,0,0,0,0,0,0
LOC112447091,0,0,0,0.10512757,0,0,0
ATP5PO,278.3953087,305.6210861,408.8046472,405.2980374,373.1515896,497.2619035,329.5802816
ITSN1,5.993404719,7.373263419,2.880259403,3.875567512,4.12339516,2.767084455,7.411165803
TRNAC-GCA,0,0,0,0,0,0,0
CRYZL1,28.60960008,26.12819859,20.7073209,18.0621745,20.49848085,18.38391198,33.14991446
LOC112447103,4.278855144,0.608006591,0.952814035,0.335990845,1.473178103,0.483114483,4.096774521
DONSON,9.564282003,8.65506499,7.363016071,5.915153701,6.362602987,6.091240584,11.74298441
SON,268.0980995,118.6179955,68.06381103,99.47216261,82.31360631,64.07076435,144.4729914
GART,39.49957514,41.02435013,28.39548852,28.87485094,26.80463593,22.98738604,52.7261083
LOC104970777,1.364583453,0.293006465,0,0.121438843,0.118324021,0,0.740358803
DNAJC28,3.638762716,2.384853439,2.117820851,2.8805422,2.036203068,2.201780376,5.458441914
TMEM50B,70.55229099,60.2178653,41.20655611,50.88425101,52.27960636,46.58444848,51.14717331
LOC112448317,2.43441688,15.681706,1.023957483,2.708086209,5.277251338,3.115122189,4.402667018
IFNGR2,274.9606439,568.0055695,296.3822232,414.882623,396.1765769,234.2581353,219.061421
LOC112447120,0.445910565,2.017524627,0.401909207,0.62359113,0.414270306,0.108684746,0.80643367
