Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2
Com_1_neg,Stearic acid,C18 H36 O2,284.27129,11.274,283.26395,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,279095573.3,353143054,67936903.06,452302396.1,241992652.8,225239623.1,1118183674
Com_2_neg,3-Coumaric acid,C9 H8 O3,164.04735,5.543,163.04021,Full match,Full match,Full match,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,71205594.64,106640864.9,411121865.7,203121334.6,97083916.62,98837326.1,91586651.68
Com_3_neg,Dodecanedioic acid,C12 H22 O4,230.15157,6.456,229.14421,Full match,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,17096089752,18769404827,10496082410,17588452898,11636639169,12932502345,16705617856
Com_4_neg,Mevalonic acid,C6 H12 O4,148.07366,2.897,147.06633,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,3981289.04,3964034.906,1465842.579,4011383.967,5690641.205,1868560.271,4081793.181
Com_5_neg,Azelaic acid,C9 H16 O4,188.10498,5.829,187.09769,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,8925271886,7407250827,5781623337,9664087858,7569613710,7833018015,9099868972
Com_6_neg,"(+/-)-CP 47,497-C7-Hydroxy metabolite",C21 H34 O3,334.25093,9.017,333.24359,Full match,Full match,No results,Benzenoids,Benzene and substituted derivatives,Cyclohexylphenols,Cyclohexylphenols,142645588,69248606.11,157943025,164473005.5,76599305.32,109236201.4,57395514.44
Com_7_neg,N-Acetyl-L-tyrosine,C11 H13 N O4,223.08446,5.305,222.07727,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Tyrosine and derivatives,6684052.754,4883548.733,8333773.323,9857786.489,6349823.036,8459044.043,9811060.347
Com_8_neg,16-Hydroxyhexadecanoic acid,C16 H32 O3,272.2351,9.532,271.22787,Full match,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,36248655.87,56725788.84,40725149.5,45971287,42561994.97,48868774.68,42926283.2
Com_9_neg,Resveratrol,C14 H12 O3,228.07877,5.741,227.07144,Full match,Full match,No results,Phenylpropanoids and polyketides,Stilbenes,Not available,Stilbenes,21039077.6,18938569.19,17571874.78,22928157.57,23319866.97,24219909.15,22854505.76
Com_10_neg,Ethylmalonic acid,C5 H8 O4,132.04249,5.059,131.0352,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Branched fatty acids,97648596.62,206363884.7,87201763.41,148265787.4,221716377.2,97736831.74,94738232.86
Com_11_neg,Suberic acid,C8 H14 O4,174.08928,5.65,173.08209,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,531650470.6,527500080.6,413681801.8,538502827.7,517994166.6,554249310.4,468609755.6
